,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
menureleasenotes_eawarning,Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.,"Добро пожаловать в Noita!\nЭта игра находится в раннем доступе.\nВ ней есть ошибки, и она может давать сбои!\nМы стараемся исправлять ошибки и добавлять новые возможности.",Boas-vindas a Noita!\nNoita e um jogo em acesso antecipado.\nEle contem erros e pode fechar sozinho as vezes!\nEstamos trabalhando duro para corrigir tudo e adicionar novos recursos.,¡Te damos la bienvenida a Noita!\nNoita es un juego de acceso anticipado.\n¡Tiene algun error y puede llegar a fallar!\nTrabajamos duro para solucionar los fallos y anadir nuevas caracteristicas.,"Willkommen zu Noita!\nNoita ist ein ?Early Access“-Spiel.\nEs enthalt Fehler und konnte sogar absturzen!\nWir arbeiten hart daran, die Fehler zu beheben und neue Funktionen hinzuzufugen.",Bienvenue dans Noita !\nNoita est un jeu en acces anticipe.\nIl contient des bugs et peut parfois planter !\nNous travaillons dur pour corriger ces problemes et ajouter de nouvelles fonctionnalites.,?迎?到《Noita》！\n《Noita》目前?于?先???段。\n游?可能包含??，甚至?崩?！\n我?正努力??些???行修?，同??游?追加新的?容。,Noitaへようこそ！\nNoitaは早期アクセスのゲ?ムです。\nこのゲ?ムにはバグが含まれており、時にはクラッシュしてしまう可能性もあります！\n私たちは全力でこの問題の修正に取り組んでおり、新しい機能の追加に向けて取り組んでいます。,Noita에 오신 것을 환영합니다!\nNoita는 얼리 액세스 게임입니다.\n버그가 있을 수 있고 가끔 충돌도 발생할 수 있습니다!\n문제를 해결하고 새 기능을 추가하고자 열심히 노력하고 있습니다.,,,PLACEHOLDER,
controls_up,up,вверх,cima,Arriba,hoch,haut,向上,上,위,,,,
controls_down,down,вниз,baixo,Abajo,runter,bas,向下,下,아래,,,,
controls_left,left,влево,esquerda,Izquierda,links,gauche,向左,左,왼쪽,,,,
controls_right,right,вправо,direita,Derecha,rechts,droite,向右,右,오른쪽,,,,
controls_usewand,use  wand,использовать жезл,usar varinha,Usar varita,Zauberstab verwenden,utiliser la baguette,使用魔杖,杖を使う,완드 사용,,,,
controls_sprayflask,spray from flask,распылить из бутыли,borrifar frasco,rociar con frasco,aus der Flasche spruhen,pulveriser avec le flacon,????射,フラスコから放射する,플라스크로 뿌리기,,,,
controls_throw,throw,бросить,arremessar,Lanzar,werfen,lancer,投?,投げる,던지기,,,,
controls_kick,kick,ударить,chutar,Patada,Schlag,coup de pied,??,蹴る,발차기,,,,
controls_inventory,open/close inventory,открыть (закрыть) инвентарь,abrir/fechar inventario,Abrir/cerrar inventario,Inventar offnen/schließen,ouvrir/fermer l'inventaire,??/??物品?,所持品を開く/閉じる,인벤토리 열기/닫기,,,,
controls_use,use,использовать,usar,Usar,verwenden,utiliser,使用,使う,사용,,,,
controls_itemnext,next item,следующий предмет,item seguinte,Siguiente objeto,nachster Gegenstand,objet suivant,下?物品,次のアイテム,다음 아이템,,,,
controls_itemprev,previous item,предыдущий предмет,item anterior,Anterior objeto,vorheriger Gegenstand,objet precedent,上?物品,前のアイテム,이전 아이템,,,,
controls_itemslot1,select item in slot 1,выбрать предмет в ячейке 1,selecionar item no espaco 1,Seleccionar objeto en ranura 1,Item in Slot 1 wahlen,selectionner l'objet dans l'emplacement 1,?? 1 ?槽物品,スロット1のアイテムを選?する,슬롯 1 아이템 선택,,,,
controls_itemslot2,select item in slot 2,выбрать предмет в ячейке 2,selecionar item no espaco 2,Seleccionar objeto en ranura 2,Item in Slot 2 wahlen,selectionner l'objet dans l'emplacement 2,?? 2 ?槽物品,スロット2のアイテムを選?する,슬롯 2 아이템 선택,,,,
controls_itemslot3,select item in slot 3,выбрать предмет в ячейке 3,selecionar item no espaco 3,Seleccionar objeto en ranura 3,Item in Slot 3 wahlen,selectionner l'objet dans l'emplacement 3,?? 3 ?槽物品,スロット3のアイテムを選?する,슬롯 3 아이템 선택,,,,
controls_itemslot4,select item in slot 4,выбрать предмет в ячейке 4,selecionar item no espaco 4,Seleccionar objeto en ranura 4,Item in Slot 4 wahlen,selectionner l'objet dans l'emplacement 4,?? 4 ?槽物品,スロット4のアイテムを選?する,슬롯 4 아이템 선택,,,,
controls_itemslot5,select item in slot 5,выбрать предмет в ячейке 5,selecionar item no espaco 5,Seleccionar objeto en ranura 5,Item in Slot 5 wahlen,selectionner l'objet dans l'emplacement 5,?? 5 ?槽物品,スロット5のアイテムを選?する,슬롯 5 아이템 선택,,,,
controls_itemslot6,select item in slot 6,выбрать предмет в ячейке 6,selecionar item no espaco 6,Seleccionar objeto en ranura 6,Item in Slot 6 wahlen,selectionner l'objet dans l'emplacement 6,?? 6 ?槽物品,スロット6のアイテムを選?する,슬롯 6 아이템 선택,,,,
controls_itemslot7,select item in slot 7,выбрать предмет в ячейке 7,selecionar item no espaco 7,Seleccionar objeto en ranura 7,Item in Slot 7 wahlen,selectionner l'objet dans l'emplacement 7,?? 7 ?槽物品,スロット7のアイテムを選?する,슬롯 7 아이템 선택,,,,
controls_itemslot8,select item in slot 8,выбрать предмет в ячейке 8,selecionar item no espaco 8,Seleccionar objeto en ranura 8,Item in Slot 8 wahlen,selectionner l'objet dans l'emplacement 8,?? 8 ?槽物品,スロット8のアイテムを選?する,슬롯 8 아이템 선택,,,,
controls_itemslot9,select item in slot 9,выбрать предмет в ячейке 9,selecionar item no espaco 9,Seleccionar objeto en ranura 9,Item in Slot 9 wahlen,selectionner l'objet dans l'emplacement 9,?? 9 ?槽物品,スロット9のアイテムを選?する,슬롯 9 아이템 선택,,,,
controls_itemslot10,select item in slot 10,выбрать предмет в ячейке 10,selecionar item no espaco 10,Seleccionar objeto en ranura 10,Item in Slot 10 wahlen,selectionner l'objet dans l'emplacement 10,?? 10 ?槽物品,スロット10のアイテムを選?する,슬롯 10 아이템 선택,,,,
controls_escape,pause/close,приостановить (закрыть),pausar/fechar,Pausa/cerrar,Pause/schließen,mettre en pause/fermer,?停/??,一旦停止/閉じる,일시 정지/닫기,,,,
hud_air_unit,o2,o2,o2,O2,o2,o2,??,o2,산소,o2,,,
hud_air,Air: $0 / $1,Воздух: $0 / $1,Ar: $0 / $1,Aire: $0 / $1,Luft: $0 / $1,Air : $0/$1,空?：$0 / $1,空?： $0 / $1,공기: $0 / $1,Happi: $0 / $1,,,
hud_health,Health: $0 / $1,Здоровье: $0 / $1,Saude: $0 / $1,Salud: $0 / $1,Gesundheit: $0 / $1,Sante : $0/$1,生命?：$0 / $1,ヘルス： $0 / $1,체력: $0 / $1,Elama: $0 / $1,,,
hud_jetpack,Levitation energy: $0 / $1,Энергия левитации: $0 / $1,Energia de levitacao: $0 / $1,Energia levitatoria: $0 / $1,Schwebeenergie: $0 / $1,Energie de levitation : $0/$1,浮空能量：$0 / $1,空中浮遊エネルギ?： $0 / $1,비행 에너지: $0 / $1,Levitaatiovoima: $0 / $1,,,
hud_wand_mana,Wand mana: $0 / $1,Мана жезла: $0 / $1,Mana da varinha: $0 / $1,Mana de varita: $0 / $1,Zauberstab-Mana: $0 / $1,Mana de la baguette : $0/$1,魔杖法力：$0 / $1,杖のマナ： $0 / $1,완드 마나: $0 / $1,Sauvan taikavoima: $0 / $1,,,
hud_wand_reload,Wand recharge: $0 s,Перезарядка жезла: $0 с,Recarga de varinha: $0 s,Recarga de varita: $0 s,Zauberstabladung: $0 s,Recharge de la baguette : $0 s,魔杖充能：$0 秒,杖のリチャ?ジ： $0 秒,완드 충전: $0초,Sauvan lataus: $0 s,,,
hud_gold,Gold: $0,Золото: $0,Ouro: $0,Oro: $0 s,Gold: $0,Or : $0,?金：$0,ゴ?ルド： $0,골드: $0,Kulta: $0,,,
hud_orbs,Orbs collected: $0,Собрано шаров: $0,Orbes coletados: $0,Orbes recogidos: $0,Gesammelte Kugeln: $0,Orbes recuperes : $0,?得魔球：$0,回?したオ?ブ： $0,수집한 오브: $0,Taikapallot: $0,,,
hud_title_wands,WANDS,ЖЕЗЛЫ,VARINHAS,VARITAS,ZAUBERSTABE,BAGUETTES,魔杖,杖,완드,SAUVAT,,,
hud_title_throwables,ITEMS,ПРЕДМЕТЫ,ITENS,OBJETOS,GEGENSTANDE,OBJETS,物品,アイテム,아이템,TAIKAJUOMAT,,,
hud_title_actionstorage,SPELLS,ЗАКЛИНАНИЯ,FEITICOS,HECHIZOS,ZAUBER,SORTS,法?,呪文,주문,MAGIAVARASTO,,,
menu_newwand_title,NEW WAND,НОВЫЙ ЖЕЗЛ,NOVA VARINHA,NUEVA VARITA,NEUER ZAUBERSTAB,NOUVELLE BAGUETTE,新魔杖,新しい杖,새 완드,UUSI SAUVA,,,
menu_newwand_pressagain_pick,Press $0 again to pick the wand,"Чтобы взять жезл, нажмите $0 еще раз",Aperte $0 de novo para pegar a varinha,Pulsa $0 de nuevo para recoger la varita,Drucke nochmals $0 um den Zauberstab aufzuheben,Appuyez a nouveau sur $0 pour ramasser la baguette,再按一次 $0 拾起魔杖,$0 をもう一度押して杖を拾う,$0(을)를 다시 눌러 완드 집기,Paina $0 uudestaan poimiaksesi sauvan,,,
menu_newwand_pressagain_cancel,Press $0 to cancel,Отмена ? $0,Aperte $0 para cancelar,Pulsa $0 para cancelar,Drucke $0 zum abbrechen,Appuyez sur $0 pour annuler,按 $0 取消,$0 を押してキャンセル,$0(을)를 눌러 취소,Paina $0 peruuttaaksesi,,,
menu_newwand_whichwand_gamepad,WHICH WAND DO YOU WANT TO DROP?,КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ?,QUAL VARINHA DESEJA LARGAR?,¿QUE VARITA QUIERES SOLTAR?,WELCHEN ZAUBERSTAB MOCHTEST DU FALLENLASSEN?,QUELLE BAGUETTE VOULEZ-VOUS LACHER ?,希望???支魔杖？,どの杖を落としますか？,어느 완드를 버릴까요?,MINKA SAUVAN HALUAT TIPUTTAA?,,,
menu_newwand_whichwand_keyboard,WHICH WAND DO YOU WANT TO DROP? (Click it!),КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ? (нажмите на него!),QUAL VARINHA DESEJA LARGAR? (Clique nela!),¿QUE VARITA QUIERES SOLTAR? (Haz clic en ella),WELCHEN ZAUBERSTAB MOCHTEST DU FALLENLASSEN? (Klicke ihn an!),QUELLE BAGUETTE VOULEZ-VOUS LACHER ? (Cliquez dessus !),希望???支魔杖？（?点?！）,どの杖を落としますか？(クリックしてください！),어느 완드를 버릴까요? (클릭하세요!),MINKA SAUVAN HALUAT TIPUTTAA? KLIKKAA SAUVAA VALITAKSESI!,,,
menu_newwand_emptyslot,$0 - empty slot,$0 ? пустая ячейка,$0 - espaco vazio,$0 - ranura vacia,$0 - leerer Slot,$0 - emplacement vide,$0 - 空槽,$0 - 空のスロット,$0 - 빈 슬롯,$0 - tyhja lokero,,,
menu_newbook_pressagain_pick,Press $0 again to pick the book,"Чтобы взять книгу, нажмите $0 еще раз",Aperte $0 de novo para pegar o livro,Pulsa $0 de nuevo para recoger el libro,Drucke nochmals $0 um das Buch aufzuheben,Appuyez sur $0 pour ramasser le livre,再按一次 $0 拾起魔法?,$0 をもう一度押して本を拾う,$0(을)를 다시 눌러 책 집기,Paina $0 uudestaan poimiaksesi kirjan,,,
menu_newbook_pressagain_close,Press $0 to close,Закрыть ? $0,Aperte $0 para fechar,Pulsa $0 para cerrar,Drucke $0 zum Schließen,Appuyez sur $0 pour fermer,按 $0 ??,$0 を押して閉じる,$0(을)를 눌러 닫기,Paina $0 sulkeaksesi kirjan,,,
item_empty,Empty,Пусто,Vazio,Vacio,Leer,Vide,空,空,빈,Tyhja,,,
item_wand,Wand,Жезл,Varinha,Varita,Zauberstab,Baguette,魔杖,杖,완드,Sauva,,,
item_potion,Flask,Бутыль,Frasco,Frasco,Flasche,Flacon,??,フラスコ,플라스크,Taikajuoma,,,
item_cocktail,Cocktail,Коктейль,Coquetel,Coctel,Cocktail,Cocktail,?尾酒,カクテル,칵테일,,,,
item_thunderstone,Thunderstone,Грозовой камень,Tempespedra,Piedra de rayo,Gewitterstein,Pierre d'orage,雷?之石,雷石,썬더스톤,SalamaKivi,,,
item_orb,Orb,Шар,Orbe,Orbe,Kugel,Orbe,魔球,オ?ブ,오브,Taikapallo $0,,,
item_description_potion,Equip and throw,Установить и бросить,Equipar e arremessar,Equipar y lanzar,Ausrusten und werfen,Equiper et lancer,???投?,?備して投げる,장착 후 던지기,Valitse ja heita,,,
item_description_egg,Equip and throw,Установить и бросить,Equipar e arremessar,Equipar y lanzar,Ausrusten und werfen,Equiper et lancer,???投?,?備して投げる,장착 후 던지기,Valitse ja heita,,,
item_potion_with_material,$0 flask,Бутыль ($0),Frasco de $0,Frasco de $0,Flasche mit $0,Flacon ($0),$0??,$0 フラスコ,$0 플라스크,$0puteli,,,
item_potion_fullness, ($0% full), (осталось: $0%), ($0% cheio), ($0% lleno), ($0 % voll), (rempli a $0 %), （$0% ??）, ($0% ?タン), ($0% 차있음), ($0% taynna),,,
item_potion_empty,Empty,Пусто,Vazio,Vacio,Leer,Vide,空,空,빈,Tyhja,,,
item_egg,Egg,Яйцо,Ovo,Huevo,Ei,Œuf,蛋,卵,달걀,Muna,,,
item_mcguffin,Missing Key,Недостающий ключ,Chave desaparecida,Llave perdida,Fehlender Schlussel,Cle manquante,?失的?匙,行方不明のキ?,잃어버린 열쇠,,,,
itemdesc_mcguffin,This has been said to complete the Work,"Было сказано, это поможет выполнить работу",Dizem que esta chave conclui o Trabalho.,Se dice que puede completar la Obra maestra,"Damit soll es moglich sein, das Große Werk zu vollbringen",On raconte que cela acheve l'Œuvre,据?有??就能?“?大之作”完整,最高傑作を完成させるよう言われました。,일을 끝내기 위한 것이라 쓰여 있습니다.,Sambo,,,
item_chest_treasure,Treasure chest,Сундук с сокровищами,Bau de tesouro,Cofre del tesoro,Schatztruhe,Coffre au tresor,?箱,?箱,보물 상자,,,,
item_goldnugget,Gold nugget,Золотой самородок,Pepita de ouro,Pepita de oro,Goldbarren,Pepite d'or,金?,金塊,금 덩어리,,,,
item_heart,Extra max HP,Доп. макс. ОЗ,PV maximo extra,PS max. adicionales,Erhohte max. LP,PV max. supplementaires,追加生命?上限,追加の最大HP,최대 체력 증가,,,,
